Promise_ID,Call_ID,Account_ID,Promise_Date,Promise_Due_Date,Promised_Amount,Promise_Status
288,6472,338,2025-02-23,2025-03-25,35.13,Broken
289,6490,339,2025-10-27,2025-11-11,7692.58,Kept
290,6506,340,2026-02-13,2026-03-11,9971.29,Active
291,6509,341,2025-12-19,2025-12-29,1238.57,Kept
292,6546,342,2024-11-21,2024-12-06,2107.64,Kept
293,6551,343,2026-01-28,2026-02-11,3201.55,Active
294,6565,344,2025-04-10,2025-04-25,1441.58,Kept
295,6617,346,2026-01-11,2026-01-27,1966.18,Kept
296,6629,347,2026-01-26,2026-02-07,9666.68,Active
297,6636,348,2026-01-16,2026-02-08,3833.83,Active
298,6642,349,2026-02-03,2026-03-02,7378.22,Active
299,6684,351,2025-11-04,2025-11-13,1495.77,Broken
300,6734,354,2025-06-26,2025-07-21,1510.19,Broken
301,6783,356,2025-12-24,2026-01-09,71.14,Broken
302,6810,357,2024-08-24,2024-09-01,197.02,Broken
303,6829,358,2025-06-16,2025-07-06,3397.88,Broken
304,6865,359,2024-09-04,2024-09-26,331.84,Broken
305,6899,360,2025-05-18,2025-06-08,2147.57,Kept
306,6912,361,2026-01-16,2026-01-28,2291.82,Kept
307,6919,362,2025-11-21,2025-12-01,1630.56,Kept
308,6937,363,2026-01-26,2026-02-02,6182.87,Active
309,6945,364,2025-09-01,2025-09-19,164.97,Kept
310,6957,365,2025-07-02,2025-07-11,104.58,Broken
311,6979,366,2025-11-08,2025-11-24,613.03,Broken
312,6987,367,2024-11-24,2024-12-20,403.76,Kept
313,7023,368,2026-01-13,2026-01-21,2717.03,Broken
314,7042,369,2025-01-28,2025-02-25,20.18,Broken
315,7067,370,2024-12-08,2024-12-09,891.9,Kept
316,7111,372,2024-11-29,2024-12-23,1355.51,Broken
317,7135,373,2026-02-15,2026-02-27,1553.99,Active
318,7145,374,2025-12-16,2025-12-24,363.02,Broken
319,7159,375,2025-10-16,2025-10-27,115.04,Kept
320,7181,376,2024-12-27,2025-01-23,290.99,Broken
321,7203,377,2026-01-15,2026-01-19,2998.18,Broken
322,7214,378,2026-01-23,2026-02-02,6362.59,Active
323,7239,379,2025-07-19,2025-07-27,1408.74,Kept
324,7249,380,2025-07-02,2025-07-24,1650.43,Kept
325,7273,382,2025-04-05,2025-04-24,933.97,Kept
326,7293,383,2026-02-03,2026-02-07,7144.66,Active
327,7330,384,2024-11-09,2024-11-18,1411.17,Broken
328,7335,385,2026-01-23,2026-01-31,1097.58,Kept
329,7358,386,2025-02-08,2025-02-26,467.4,Kept
330,7395,387,2025-05-31,2025-06-09,2530.53,Broken
331,7419,389,2025-04-19,2025-05-04,175.28,Broken
332,7464,390,2025-03-13,2025-03-14,2429.42,Broken
333,7488,391,2025-03-07,2025-04-02,509.32,Broken
334,7502,392,2025-09-01,2025-09-08,4693.62,Kept
335,7512,393,2025-08-07,2025-09-01,622.24,Broken
336,7530,394,2024-11-08,2024-11-09,1847.91,Broken
337,7560,395,2026-01-27,2026-02-14,2177.89,Active
338,7570,396,2025-12-28,2026-01-03,17057.9,Broken
339,7586,397,2025-11-15,2025-11-20,666.26,Broken
340,7591,398,2026-01-26,2026-02-03,7316.67,Active
341,7598,399,2026-01-23,2026-01-24,3449.36,Kept
342,7609,400,2025-12-22,2026-01-15,2510.13,Kept
343,7628,401,2025-10-27,2025-11-11,217.74,Kept
344,7644,402,2025-12-21,2026-01-07,5116.14,Broken
345,7653,403,2025-04-08,2025-05-02,2579.78,Kept
346,7680,405,2025-02-02,2025-02-17,213.59,Broken
347,7699,406,2025-08-31,2025-09-28,272.63,Kept
348,7748,408,2025-10-11,2025-11-10,9373.52,Kept
349,7767,409,2025-01-01,2025-01-06,794.94,Broken
350,7800,410,2026-02-26,2026-03-16,17352.49,Active
351,7810,411,2024-11-20,2024-12-03,207.6,Broken
352,7839,412,2026-01-11,2026-01-31,1406.71,Broken
353,7851,413,2024-11-03,2024-11-07,214.99,Broken
354,7887,414,2025-03-26,2025-04-19,211.08,Broken
355,7916,415,2025-04-26,2025-05-10,193.05,Kept
356,7927,417,2026-01-22,2026-01-26,3786.99,Kept
357,7949,418,2025-12-14,2025-12-23,791.53,Kept
358,7963,419,2024-08-26,2024-09-25,469.28,Kept
359,7986,420,2025-08-28,2025-09-11,126.9,Broken
360,8019,421,2025-01-18,2025-02-13,522.81,Broken
361,8034,422,2026-01-24,2026-02-11,14882.7,Active
362,8060,423,2024-10-20,2024-10-24,455.94,Broken
363,8083,424,2025-07-07,2025-07-21,3861.21,Broken
364,8099,425,2025-07-27,2025-08-16,838.5,Kept
365,8114,426,2026-01-13,2026-01-30,5725.48,Kept
366,8141,428,2025-06-21,2025-06-29,1193.6,Kept
367,8147,429,2025-01-03,2025-01-07,1438.1,Broken
368,8173,430,2026-02-02,2026-03-02,15342.86,Active
369,8205,432,2025-07-20,2025-08-14,223.63,Kept
370,8232,434,2026-01-30,2026-01-31,3405.1,Kept
371,8253,435,2024-08-29,2024-09-21,237.96,Broken
372,8287,436,2025-01-14,2025-01-24,432.75,Kept
373,8315,437,2025-01-27,2025-02-01,298.93,Kept
374,8345,438,2025-09-12,2025-10-03,1035.22,Kept
375,8347,439,2025-06-15,2025-06-28,25.64,Kept
376,8373,440,2024-12-09,2025-01-02,877.33,Broken
377,8405,441,2025-11-23,2025-12-22,759.17,Kept
378,8429,442,2025-01-23,2025-02-12,251.2,Kept
379,8455,443,2025-01-04,2025-01-18,2865.39,Kept
380,8476,444,2025-11-28,2025-12-23,724.89,Kept
381,8496,445,2025-10-24,2025-11-15,2672.18,Kept
382,8511,446,2025-01-28,2025-01-30,4165.85,Kept
383,8556,449,2025-12-29,2026-01-05,1368.97,Kept
384,8563,450,2025-08-09,2025-08-14,501.61,Kept
385,8587,451,2024-12-26,2025-01-11,1178.3,Broken
386,8630,452,2024-12-05,2024-12-28,1022.58,Broken
387,8645,453,2025-02-08,2025-02-20,580.73,Kept
388,8669,454,2025-04-12,2025-04-13,72.06,Kept
389,8696,455,2025-07-15,2025-07-29,1161.1,Kept
390,8708,456,2026-01-27,2026-01-31,930.68,Broken
391,8722,457,2025-12-26,2026-01-01,1476.47,Broken
392,8732,458,2024-10-29,2024-11-28,940.06,Kept
393,8767,459,2024-11-05,2024-11-19,238.66,Broken
394,8800,460,2024-09-19,2024-09-29,20.76,Broken
395,8834,461,2026-02-07,2026-02-10,1143.46,Active
396,8842,462,2025-04-16,2025-04-20,106.5,Broken
397,8864,463,2026-01-23,2026-02-04,1258.23,Active
398,8871,464,2025-04-11,2025-05-08,51.2,Kept
399,8901,465,2025-11-04,2025-11-13,12873.25,Broken
400,8908,466,2025-05-21,2025-06-15,286.85,Broken
401,8949,469,2025-07-16,2025-08-06,3552.13,Broken
402,8968,470,2026-02-15,2026-03-02,7525.06,Active
403,8974,471,2026-02-07,2026-03-08,1452.28,Active
404,8980,472,2025-08-06,2025-08-27,587.73,Broken
405,8997,473,2025-11-03,2025-11-14,2063.29,Kept
406,9044,475,2025-07-31,2025-08-15,5736.92,Kept
407,9066,476,2025-06-14,2025-06-26,311.55,Kept
408,9089,477,2025-09-07,2025-09-09,2942.23,Kept
409,9098,478,2025-08-17,2025-09-07,2567.32,Kept
410,9115,479,2025-06-15,2025-07-02,1631.41,Broken
411,9158,480,2025-05-07,2025-05-31,5678.33,Broken
412,9161,481,2025-02-18,2025-03-11,281.84,Broken
413,9197,482,2024-12-29,2024-12-31,787.5,Broken
414,9218,483,2026-01-18,2026-02-10,6702.21,Active
415,9229,484,2025-09-06,2025-09-27,882.07,Kept
416,9268,485,2024-12-17,2025-01-01,268.54,Broken
417,9281,486,2025-04-16,2025-04-28,554.21,Kept
418,9299,487,2025-07-19,2025-07-30,1299.56,Kept
419,9333,488,2025-07-23,2025-08-03,2853.98,Broken
420,9339,489,2025-08-22,2025-09-01,745.19,Broken
421,9360,490,2025-02-21,2025-03-23,96.21,Kept
422,9381,491,2024-11-19,2024-12-11,331.65,Broken
423,9418,492,2024-08-14,2024-09-06,29.66,Broken
424,9448,493,2026-02-03,2026-02-06,2202.47,Active
425,9464,494,2025-07-19,2025-08-01,796.22,Kept
426,9478,495,2025-08-06,2025-08-29,1547.11,Kept
427,9531,498,2024-08-20,2024-09-06,1896.54,Broken
428,9562,499,2025-11-22,2025-11-23,4943.68,Kept
429,9581,500,2025-07-15,2025-07-22,1011.76,Kept
430,9607,501,2024-12-01,2024-12-06,1770.94,Broken
431,9669,503,2026-01-23,2026-02-09,9383.49,Active
432,9677,504,2025-10-20,2025-11-16,4166.02,Kept
433,9694,505,2025-05-25,2025-06-23,2139.91,Kept
434,9718,506,2024-07-18,2024-07-24,332.87,Broken
435,9749,507,2026-01-26,2026-02-24,4200.25,Active
436,9757,508,2025-11-29,2025-12-14,1467.09,Kept
437,9780,509,2024-12-18,2025-01-11,257.03,Kept
438,9824,510,2025-05-01,2025-05-25,4155.38,Kept
439,9866,512,2025-08-27,2025-09-22,5786.75,Kept
440,9884,513,2025-01-29,2025-02-20,3015.9,Kept
441,9914,514,2025-07-23,2025-08-02,5287.11,Kept
442,9920,515,2026-01-24,2026-01-30,228.66,Kept
443,9929,516,2025-06-06,2025-06-15,2547.75,Kept
444,9950,517,2025-05-24,2025-06-23,2131.05,Broken
445,9975,519,2025-07-30,2025-08-09,2783.38,Kept
446,9990,520,2025-09-28,2025-10-13,775.59,Kept
447,10021,521,2024-11-06,2024-12-06,698.17,Kept
448,10040,522,2026-01-27,2026-01-28,10529.79,Kept
449,10055,523,2025-06-16,2025-06-28,72.79,Kept
450,10072,524,2025-05-16,2025-05-17,483.01,Broken
451,10102,525,2025-10-10,2025-10-21,546.57,Kept
452,10114,526,2024-08-26,2024-09-22,2749.52,Broken
453,10180,528,2025-03-22,2025-04-07,209.6,Kept
454,10214,529,2024-12-28,2025-01-06,781.9,Broken
455,10235,530,2026-01-27,2026-02-16,4970.11,Active
456,10243,531,2026-01-19,2026-01-23,1750.86,Kept
457,10251,532,2026-01-03,2026-01-07,7458.0,Kept
458,10262,533,2025-03-06,2025-04-01,381.45,Broken
459,10317,535,2026-01-28,2026-02-13,936.9,Active
460,10344,536,2024-08-30,2024-08-31,100.4,Broken
461,10372,537,2025-03-20,2025-03-30,321.19,Kept
462,10386,538,2026-02-13,2026-02-27,933.76,Active
463,10400,539,2025-07-12,2025-08-03,172.62,Kept
464,10489,543,2024-12-27,2025-01-13,317.35,Broken
465,10520,544,2025-10-03,2025-10-04,17227.03,Kept
466,10554,545,2024-12-02,2024-12-23,717.59,Broken
467,10593,547,2025-04-24,2025-05-06,858.82,Broken
468,10607,548,2024-12-14,2025-01-04,451.05,Broken
469,10648,549,2025-01-25,2025-01-30,6129.99,Broken
470,10682,550,2025-04-25,2025-05-01,978.81,Broken
471,10698,551,2025-10-20,2025-11-05,119.67,Kept
472,10718,552,2025-07-11,2025-08-05,4022.09,Kept
473,10735,553,2026-01-08,2026-02-03,1962.22,Active
474,10747,554,2024-10-20,2024-10-22,9842.5,Kept
