Payment_ID,Account_ID,Promise_ID,Payment_Date,Payment_Amount,Payment_Method
239,131,111.0,2026-02-03,86.33,Online Portal
241,131,,2026-02-27,34.34,Online Portal
242,132,112.0,2025-09-14,204.79,ACH
243,133,113.0,2025-03-09,467.21,ACH
244,134,114.0,2025-12-05,661.78,ACH
245,134,,2026-01-20,229.9,Online Portal
246,135,115.0,2025-06-01,380.72,Online Portal
247,135,115.0,2025-06-01,510.81,Online Portal
248,135,115.0,2025-06-13,902.36,Online Portal
249,135,,2025-06-16,152.63,Card
250,135,,2025-06-28,71.63,Online Portal
251,136,115.0,2025-05-29,782.04,Online Portal
252,137,115.0,2025-06-07,1022.67,ACH
253,138,116.0,2024-10-20,116.26,Online Portal
254,139,117.0,2025-05-31,2751.37,Online Portal
255,140,118.0,2025-11-28,1915.83,ACH
256,141,119.0,2025-02-27,833.74,ACH
257,142,120.0,2026-01-30,558.53,ACH
258,142,120.0,2026-02-02,1292.6,ACH
259,143,120.0,2026-02-07,567.56,ACH
260,144,121.0,2025-01-30,3532.22,Card
261,145,121.0,2025-02-05,815.56,ACH
262,146,122.0,2024-11-17,29.43,Online Portal
263,146,122.0,2024-12-02,34.36,Card
264,146,122.0,2024-12-13,33.05,Online Portal
265,147,123.0,2026-02-03,806.75,Online Portal
266,148,124.0,2025-03-15,1591.4,Online Portal
267,148,,2025-04-03,179.87,Card
268,149,125.0,2026-01-16,113.28,ACH
269,149,,2026-01-23,188.23,ACH
270,150,126.0,2025-03-15,442.11,Online Portal
271,150,126.0,2025-03-24,232.65,Card
272,150,126.0,2025-03-24,442.84,Card
274,151,,2025-04-13,199.85,Online Portal
273,151,127.0,2025-05-23,621.18,Card
275,152,127.0,2025-05-31,70.07,Online Portal
276,152,127.0,2025-06-04,92.75,Online Portal
277,153,128.0,2026-03-28,2002.82,Online Portal
278,154,129.0,2025-06-21,520.76,ACH
279,155,130.0,2025-12-03,2325.61,Bank Transfer
280,155,130.0,2025-12-10,2585.41,ACH
281,156,131.0,2025-04-01,39.88,ACH
283,157,,2025-10-18,816.42,ACH
282,157,132.0,2025-11-03,4127.86,Bank Transfer
284,158,133.0,2025-09-28,63.11,ACH
285,158,133.0,2025-10-07,181.13,ACH
288,159,,2025-01-29,1580.71,Card
286,159,134.0,2025-03-25,807.86,Bank Transfer
287,159,134.0,2025-04-09,1013.3,Bank Transfer
289,160,135.0,2026-03-22,10019.74,Online Portal
290,161,136.0,2026-03-06,12943.99,Card
291,162,137.0,2026-04-01,15683.06,ACH
292,163,138.0,2025-12-27,516.49,Online Portal
293,163,,2026-01-29,27.21,ACH
294,164,139.0,2024-12-18,732.45,Card
295,165,139.0,2024-12-28,285.18,Online Portal
296,166,140.0,2026-03-15,1754.78,Online Portal
297,167,141.0,2025-02-22,147.72,ACH
298,167,141.0,2025-03-05,251.93,Online Portal
299,168,142.0,2025-06-13,1344.45,Online Portal
300,169,142.0,2025-06-01,46.66,Card
301,169,142.0,2025-06-02,59.99,Online Portal
302,170,142.0,2025-07-06,182.54,Online Portal
303,171,143.0,2025-08-11,1533.06,Bank Transfer
304,172,144.0,2025-11-26,485.59,Online Portal
305,173,145.0,2026-03-24,1281.08,Online Portal
306,173,145.0,2026-04-06,1162.64,Online Portal
307,173,145.0,2026-04-12,1119.56,Online Portal
308,174,146.0,2026-01-11,901.45,ACH
310,175,,2025-04-13,171.87,Online Portal
309,175,147.0,2025-04-14,274.21,Online Portal
311,175,,2025-06-16,86.51,Online Portal
312,176,148.0,2026-03-15,1765.42,ACH
313,177,149.0,2024-09-15,228.27,Online Portal
314,177,149.0,2024-09-20,277.17,Card
315,178,150.0,2026-03-24,4878.96,Online Portal
316,178,150.0,2026-04-05,6033.35,Online Portal
317,178,150.0,2026-04-17,5237.1,Online Portal
318,179,151.0,2026-02-21,153.93,Card
319,179,151.0,2026-02-22,133.92,Card
320,179,151.0,2026-03-06,145.78,Online Portal
322,180,,2026-01-27,29.78,ACH
321,180,152.0,2026-02-23,1566.17,ACH
323,181,152.0,2026-03-04,109.51,Bank Transfer
324,181,152.0,2026-03-06,221.93,Online Portal
325,182,153.0,2026-04-29,1555.69,Online Portal
326,182,153.0,2026-05-03,491.25,Online Portal
327,182,153.0,2026-05-15,1431.58,Card
328,183,154.0,2025-09-13,785.59,ACH
329,184,155.0,2024-12-06,107.44,ACH
330,185,156.0,2025-07-27,4138.06,Bank Transfer
331,185,,2025-07-29,159.44,Bank Transfer
332,186,157.0,2026-01-22,1288.35,Online Portal
333,186,157.0,2026-02-01,3334.15,Card
334,187,158.0,2024-10-02,2023.73,ACH
335,188,159.0,2025-08-10,552.79,Card
336,189,159.0,2025-08-22,491.37,Online Portal
337,190,160.0,2025-03-19,1403.68,Card
338,191,161.0,2025-01-24,2806.91,ACH
339,192,162.0,2026-02-07,8000.08,Bank Transfer
340,193,163.0,2026-01-25,459.2,Bank Transfer
341,193,163.0,2026-01-30,1033.25,ACH
342,194,164.0,2024-11-08,180.07,Online Portal
343,194,164.0,2024-11-21,239.51,Card
344,194,164.0,2024-11-25,290.11,ACH
345,195,165.0,2026-02-10,420.03,Online Portal
346,195,165.0,2026-02-11,1037.0,Online Portal
348,196,,2024-08-20,121.77,ACH
347,196,166.0,2024-11-17,166.69,Bank Transfer
349,197,167.0,2025-10-23,2795.1,ACH
350,198,168.0,2025-10-25,1109.27,Online Portal
351,199,169.0,2025-04-26,225.95,ACH
352,200,170.0,2026-04-07,1613.46,Online Portal
354,201,,2025-03-09,355.6,Card
353,201,171.0,2025-03-29,1002.82,Online Portal
355,202,172.0,2026-01-03,3375.18,ACH
356,203,173.0,2025-05-18,758.56,ACH
357,203,173.0,2025-05-25,1194.51,Online Portal
358,204,174.0,2026-03-10,757.77,ACH
359,205,175.0,2025-05-02,316.6,Bank Transfer
360,205,175.0,2025-05-14,417.62,Online Portal
361,206,176.0,2025-08-24,965.33,ACH
362,206,,2025-10-09,304.36,Online Portal
363,207,177.0,2025-05-04,99.58,Card
365,208,,2026-01-10,309.93,Online Portal
364,208,178.0,2026-01-22,4794.38,ACH
366,209,179.0,2025-02-12,903.9,Card
367,210,180.0,2025-03-02,900.32,Online Portal
368,211,181.0,2026-03-24,839.59,Bank Transfer
369,211,181.0,2026-03-28,727.85,Online Portal
370,211,181.0,2026-04-04,1248.58,Card
371,212,182.0,2024-10-27,816.08,ACH
372,213,183.0,2025-08-23,353.82,ACH
373,213,183.0,2025-08-25,283.13,Card
374,213,183.0,2025-09-08,227.82,Card
375,214,184.0,2025-12-01,1797.14,Card
377,215,,2024-12-09,34.25,Card
378,215,,2024-12-21,61.79,Online Portal
379,215,,2025-01-12,38.88,Online Portal
376,215,185.0,2025-01-15,24.24,Online Portal
381,216,,2025-10-25,68.46,Card
380,216,186.0,2026-01-03,1266.11,Online Portal
382,217,187.0,2026-02-06,10504.62,Online Portal
383,217,,2026-02-23,2157.28,Online Portal
384,218,188.0,2026-03-03,1996.38,Online Portal
385,219,189.0,2025-07-24,251.58,Online Portal
386,220,189.0,2025-08-01,287.52,Online Portal
387,221,189.0,2025-08-01,305.49,Online Portal
388,222,190.0,2026-03-24,1172.61,ACH
389,222,190.0,2026-03-25,2719.34,Online Portal
390,223,190.0,2026-03-03,674.55,ACH
391,224,191.0,2026-03-14,1062.98,Card
392,224,191.0,2026-03-29,1042.29,ACH
393,224,191.0,2026-03-31,2417.37,Bank Transfer
394,225,191.0,2026-02-22,1379.08,Online Portal
397,226,,2025-05-10,649.43,Bank Transfer
395,226,192.0,2025-06-05,285.44,ACH
396,226,192.0,2025-06-14,451.46,Online Portal
398,226,,2025-08-01,343.68,Card
399,226,,2025-08-12,122.64,ACH
400,227,193.0,2026-01-04,6355.89,Online Portal
401,228,193.0,2026-01-09,1043.26,Online Portal
402,228,193.0,2026-01-11,963.01,Online Portal
404,229,,2025-10-20,730.58,Online Portal
405,229,,2025-11-16,373.27,Card
403,229,194.0,2025-11-18,349.98,ACH
406,229,,2025-12-02,327.7,Online Portal
407,230,195.0,2026-04-05,289.48,Card
408,230,195.0,2026-04-15,70.04,Online Portal
409,230,195.0,2026-04-17,143.13,Online Portal
410,231,196.0,2026-04-01,6105.41,ACH
411,232,197.0,2025-07-11,524.87,ACH
412,232,197.0,2025-07-13,997.06,Online Portal
413,232,197.0,2025-07-13,1723.24,ACH
415,233,,2025-01-13,28.17,ACH
414,233,198.0,2025-01-17,94.41,Bank Transfer
416,234,199.0,2025-08-15,2075.78,Online Portal
419,235,,2025-12-30,49.78,Online Portal
417,235,200.0,2026-01-05,67.36,Card
418,235,200.0,2026-01-07,119.51,Bank Transfer
420,236,201.0,2025-04-09,1003.48,Card
421,236,201.0,2025-04-15,827.63,Online Portal
422,236,201.0,2025-04-18,1519.64,Online Portal
423,237,202.0,2025-06-14,235.99,Card
424,237,,2025-06-23,174.39,Card
425,237,,2025-07-01,151.08,ACH
426,238,203.0,2026-03-03,5489.36,Online Portal
427,238,203.0,2026-03-15,13277.12,Online Portal
428,239,204.0,2025-03-28,12.31,Online Portal
429,239,204.0,2025-04-11,6.99,Online Portal
430,239,204.0,2025-04-13,24.42,Card
431,239,,2025-04-20,23.31,Online Portal
432,239,,2025-06-08,20.71,Online Portal
433,240,205.0,2026-04-01,6495.39,Card
434,241,206.0,2025-06-28,1032.45,Online Portal
435,242,207.0,2026-01-12,120.55,Card
436,242,207.0,2026-01-22,245.21,Bank Transfer
437,243,208.0,2025-04-17,74.7,Card
438,243,208.0,2025-04-20,102.96,Bank Transfer
440,244,,2025-01-08,67.42,Bank Transfer
439,244,209.0,2025-01-24,35.92,Card
442,245,,2025-11-13,643.17,Online Portal
441,245,210.0,2025-11-26,388.74,Online Portal
443,245,,2025-12-26,196.6,Card
444,246,211.0,2025-05-03,194.14,ACH
445,247,212.0,2025-05-03,996.6,Online Portal
446,247,,2025-05-03,795.64,ACH
448,248,,2026-01-28,268.93,Online Portal
447,248,213.0,2026-02-28,13760.65,Online Portal
450,249,,2025-07-18,362.09,ACH
449,249,214.0,2025-08-21,1161.66,Online Portal
451,249,,2025-09-02,278.76,Card
452,249,,2025-09-18,272.59,Online Portal
453,250,215.0,2025-07-12,1147.73,Online Portal
455,251,,2026-01-19,911.83,Online Portal
454,251,216.0,2026-03-08,3726.72,ACH
456,252,217.0,2025-02-22,214.19,Online Portal
457,253,217.0,2025-02-06,214.19,Online Portal
458,254,218.0,2025-10-23,13231.64,Online Portal
459,254,,2025-11-03,789.37,ACH
463,255,,2025-06-05,9.55,Card
460,255,219.0,2025-06-12,21.61,Card
461,255,219.0,2025-06-27,28.63,ACH
462,255,219.0,2025-07-04,36.52,ACH
464,256,220.0,2026-03-21,930.15,ACH
465,256,220.0,2026-03-25,715.69,Card
466,256,220.0,2026-04-02,1516.17,Card
467,257,221.0,2025-09-04,32.48,ACH
468,257,221.0,2025-09-04,63.67,ACH
469,257,221.0,2025-09-17,104.23,Card
470,258,221.0,2025-10-01,39.66,ACH
471,258,221.0,2025-10-09,104.23,Online Portal
472,259,222.0,2025-08-19,203.26,Card
473,259,222.0,2025-08-22,283.7,Card
474,259,222.0,2025-08-29,592.97,Bank Transfer
475,260,223.0,2024-11-20,253.83,Card
476,261,224.0,2025-11-29,446.09,Online Portal
477,261,224.0,2025-12-10,375.53,Online Portal
478,262,225.0,2025-03-13,774.5,ACH
479,263,226.0,2024-11-26,400.78,Card
480,264,227.0,2025-09-13,123.11,Online Portal
482,265,,2025-12-04,29.04,ACH
481,265,228.0,2025-12-21,592.27,Card
483,266,229.0,2024-12-31,136.37,Online Portal
484,266,229.0,2025-01-07,78.12,ACH
485,266,229.0,2025-01-19,160.73,Card
486,267,230.0,2025-06-20,538.09,ACH
487,268,231.0,2025-08-07,111.47,Bank Transfer
488,269,231.0,2025-07-25,59.33,Online Portal
489,269,231.0,2025-08-04,63.22,Online Portal
490,269,231.0,2025-08-13,61.92,Online Portal
491,270,232.0,2026-02-21,15029.39,Card
492,271,233.0,2025-08-08,1181.02,Online Portal
493,271,,2025-09-06,758.18,Card
494,272,234.0,2025-11-23,1678.12,Online Portal
495,273,235.0,2025-10-06,938.36,Card
496,273,235.0,2025-10-06,1168.36,Online Portal
497,274,236.0,2025-11-04,324.83,Online Portal
499,275,,2026-01-09,106.68,Card
498,275,237.0,2026-04-04,1604.7,Online Portal
501,276,,2025-03-28,26.91,Card
500,276,238.0,2025-05-09,98.54,Online Portal
503,277,,2024-10-18,2603.61,Online Portal
502,277,239.0,2024-10-20,2371.25,ACH
504,278,240.0,2026-03-08,1474.81,ACH
505,279,241.0,2025-08-02,2759.5,ACH
506,279,241.0,2025-08-17,6250.33,Online Portal
507,279,,2025-08-30,1042.51,Online Portal
508,280,241.0,2025-08-04,232.53,Online Portal
509,280,241.0,2025-08-18,229.53,ACH
511,281,,2025-08-26,237.55,Card
510,281,242.0,2025-09-15,3710.21,Card
512,282,243.0,2025-08-24,172.64,Bank Transfer
513,283,244.0,2025-09-13,1539.05,ACH
514,283,,2025-09-25,870.79,Online Portal
515,283,,2025-10-09,686.28,ACH
516,284,245.0,2025-07-14,1109.05,ACH
517,284,245.0,2025-07-16,1587.85,ACH
518,285,246.0,2025-09-12,4352.84,ACH
520,286,,2025-06-09,138.84,Online Portal
521,286,,2025-07-11,76.08,ACH
522,286,,2025-07-21,76.7,ACH
519,286,247.0,2025-08-09,133.46,Card
523,287,248.0,2025-07-22,366.75,ACH
524,288,249.0,2026-04-04,2367.09,Card
525,288,249.0,2026-04-15,4097.0,Card
526,289,250.0,2025-06-04,1512.35,Online Portal
527,289,,2025-06-18,793.87,Online Portal
529,290,,2024-08-18,178.03,ACH
528,290,251.0,2024-12-31,217.29,Card
530,291,252.0,2025-10-21,763.02,Card
531,292,253.0,2026-01-22,1891.47,ACH
532,293,254.0,2025-05-02,261.07,Online Portal
533,293,254.0,2025-05-06,603.63,ACH
534,294,255.0,2026-02-04,4211.64,ACH
535,294,,2026-02-20,2671.11,ACH
536,295,255.0,2026-02-12,419.04,Card
538,296,,2025-10-26,533.99,Online Portal
537,296,256.0,2025-10-27,494.98,Online Portal
539,297,256.0,2025-12-05,199.24,Card
540,297,256.0,2025-12-14,161.25,Online Portal
541,298,257.0,2025-10-28,74.16,Card
542,298,257.0,2025-11-05,110.19,Online Portal
543,298,257.0,2025-11-19,131.17,Online Portal
544,299,258.0,2024-07-31,32.58,Bank Transfer
545,300,259.0,2025-04-27,220.03,Card
546,300,259.0,2025-05-07,541.51,Online Portal
547,301,260.0,2025-06-15,289.8,Bank Transfer
549,302,,2025-06-23,339.62,ACH
548,302,261.0,2025-07-08,719.56,Bank Transfer
552,303,,2024-10-24,590.39,Card
550,303,261.0,2025-07-16,547.42,Bank Transfer
551,303,261.0,2025-07-25,767.53,Online Portal
553,304,262.0,2025-09-21,610.92,Online Portal
554,305,262.0,2025-09-26,238.56,ACH
555,306,263.0,2026-03-01,7731.96,ACH
556,307,263.0,2026-03-01,1192.08,Online Portal
557,308,264.0,2026-03-16,7972.78,Bank Transfer
558,309,265.0,2024-11-01,1442.72,Online Portal
559,310,265.0,2024-11-07,1442.72,ACH
560,311,266.0,2026-03-27,17309.82,Online Portal
561,312,267.0,2025-07-09,268.15,Online Portal
562,313,268.0,2024-10-13,113.65,ACH
563,314,268.0,2024-10-29,139.88,Online Portal
564,315,269.0,2025-01-28,110.23,Online Portal
565,316,270.0,2025-08-24,321.11,Card
566,317,271.0,2025-12-23,642.14,Card
567,318,272.0,2025-10-19,1126.99,Card
568,318,272.0,2025-10-31,1106.44,Card
572,319,,2024-10-20,54.07,Bank Transfer
569,319,273.0,2024-11-21,276.44,Card
570,319,273.0,2024-12-03,387.95,Online Portal
571,319,273.0,2024-12-12,405.07,Online Portal
573,320,274.0,2025-04-17,223.59,ACH
574,320,274.0,2025-04-24,116.36,Card
575,320,274.0,2025-05-05,339.45,Online Portal
576,321,275.0,2025-08-10,1235.25,Online Portal
577,321,,2025-08-12,175.11,Online Portal
578,322,276.0,2025-01-22,1268.68,ACH
579,322,,2025-02-10,1203.44,ACH
580,323,276.0,2025-01-14,499.93,Online Portal
583,324,,2025-07-06,348.74,ACH
581,324,277.0,2025-08-07,205.7,ACH
582,324,277.0,2025-08-20,417.75,ACH
584,325,278.0,2026-03-12,1319.44,Card
585,326,278.0,2026-04-02,182.5,ACH
586,327,279.0,2025-08-06,3528.14,Bank Transfer
587,328,280.0,2025-12-08,3231.35,Online Portal
